StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consentQ1,consentQ2,consentQ3,Age,Gender,Gender_3_TEXT,English,English_2_TEXT,Race,Race_6_TEXT,Educat,House,Income,Polit,SStatus,GStatus,SocClass,Race,Race_6_TEXT,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you between 18 to 65 years old?,Are you a native English speaker?,"Informed Consent Agreement

 

By selecting the “CONSENT TO PARTICIPANTE” option below, you are agreeing to participate in this academic study and acknowledge that: 

·      I have read the consent form above 

·      I am between 18 to 65 years old 

·      I am a native English speaker",What is your age?,What is your gender? - Selected Choice,What is your gender? - Other - Text,Is English your first language? - Selected Choice,Is English your first language? - I'm bilingual. Please specify what language you are bilingual in: - Text,What is your race/ethnicity? (You can choose more than one answer) - Selected Choice,What is your race/ethnicity? (You can choose more than one answer) - Other - Text,What is the highest degree or level of school you have completed?,How many people are in your household (including you)?,What range best approximates your average household income?,How would you describe your political views?,"​Think of this ladder as representing where people stand in the United States. At the top of the ladder are the people who are the best off - those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected jobs or no job.  The higher up you are on this ladder, the closer you are to the people at the very top; the lower you are, the closer you are to the people at the very bottom. 







Please indicate the rung where you think you stand at this time in your life, RELATIVE TO OTHER PEOPLE IN THE UNITED STATES. (1-10)","​Think of this ladder as representing where people stand in the United States. At the top of the ladder are the people who are the best off - those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected jobs or no job.  The higher up you are on this ladder, the closer you are to the people at the very top; the lower you are, the closer you are to the people at the very bottom. 







Please indicate the rung where you think your racial group stand at this time in your life, RELATIVE TO OTHER PEOPLE/SOCIAL GROUPS IN THE UNITED STATES. (1-10)",Please indicate which label you identify with most?,What is your race/ethnicity? (You can choose more than one answer) - Selected Choice,What is your race/ethnicity? (You can choose more than one answer) - Other - Text,id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2453""}","{""ImportId"":""QID2454""}","{""ImportId"":""QID2452""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_3_TEXT""}","{""ImportId"":""QID1850""}","{""ImportId"":""QID1850_2_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_6_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID3471""}","{""ImportId"":""QID22""}","{""ImportId"":""QID3475""}","{""ImportId"":""QID3475_6_TEXT""}","{""ImportId"":""id""}"
2022-04-26 18:16:47,2022-04-26 18:17:45,0,45.23.127.90,100,58,1,2022-04-26 18:17:45,R_2D5l6h5vtrR9B0L,,,,,33.9764,-117.3341,anonymous,EN,1,1,1,,,,,,,,,,,,,,,,,47001
2022-04-27 10:23:48,2022-04-27 10:25:16,0,138.23.191.162,100,87,1,2022-04-27 10:25:16,R_1H7hvWZ2WliGMSY,,,,,34.1563,-118.0868,anonymous,EN,1,1,1,,,,,,,,,,,,,,,,,47001
2022-04-27 18:27:43,2022-04-27 18:27:57,1,,100,14,1,2022-04-27 18:27:58,R_1OTAoZ22L03o84k,,,,,33.9764,-117.3341,preview,EN,2,2,2,,,,,,,,,,,,,,,,,
2022-04-27 18:29:53,2022-04-27 18:30:16,1,,100,22,1,2022-04-27 18:30:17,R_bxsRGVwlQgdsoUx,,,,,33.9764,-117.3341,preview,EN,1,1,1,,,,,,,,,,,,,,,,,
2022-04-27 18:34:30,2022-04-27 18:34:39,1,,100,8,1,2022-04-27 18:34:39,R_2CTGQQeyXe4x4y2,,,,,33.9764,-117.3341,preview,EN,1,2,1,,,,,,,,,,,,,,,,,
2022-04-29 13:39:02,2022-04-29 18:31:37,0,71.95.195.42,100,17554,1,2022-04-29 18:31:38,R_3m2XH526TP3Hgtw,,,,,34.0915,-118.1307,anonymous,EN,1,1,1,18,1,,1,,2,,2,3,5,4,5,3,3,2,,59233
2022-04-30 21:09:12,2022-04-30 21:12:23,0,71.80.130.238,100,191,1,2022-04-30 21:12:24,R_3MtYKSNALmheAkY,,,,,34.0062,-117.4432,anonymous,EN,1,1,1,21,2,,1,,2,,4,5,7,6,6,7,2,2,,58896
2022-05-01 00:14:26,2022-05-01 11:07:08,0,104.53.42.97,100,39162,1,2022-05-01 11:07:09,R_21vMIlDuRBRGLZW,,,,,33.5104,-117.6591,anonymous,EN,1,1,1,22,2,,1,,6,,3,3,3,1,10,10,5,6,,60147
2022-05-01 11:45:25,2022-05-01 11:57:17,0,97.94.96.163,100,712,1,2022-05-01 11:57:17,R_vkvgYTBkTIGE6w9,,,,,33.9243,-117.6105,anonymous,EN,1,1,1,25,1,,1,,3,,3,2,2,5,7,8,2,3,,58633
2022-05-01 15:35:40,2022-05-01 15:37:29,0,169.235.83.239,100,109,1,2022-05-01 15:37:30,R_6Al30SU57dUQtDr,,,,,32.9511,-117.2241,anonymous,EN,1,1,1,19,1,,1,,2,,2,4,8,6,4,9,2,2,,59066
2022-05-01 20:32:50,2022-05-01 20:36:25,0,172.119.118.2,100,214,1,2022-05-01 20:36:25,R_5sWOmrtMaOuPC5H,,,,,33.8744,-117.8565,anonymous,EN,1,1,1,18,2,,2,Spanish,4,,2,3,3,6,4,3,2,4,,59353
2022-05-01 21:06:22,2022-05-01 21:07:07,0,172.119.118.2,100,45,1,2022-05-01 21:07:08,R_RxksVXEyXKBjMt3,,,,,33.8744,-117.8565,anonymous,EN,1,1,1,18,2,,2,Spanish,4,,2,3,4,6,4,2,2,4,,59353
2022-05-01 21:21:56,2022-05-01 21:23:58,0,24.205.7.73,100,121,1,2022-05-01 21:23:58,R_2dK0YJ3iTQTVcGg,,,,,33.9449,-117.3834,anonymous,EN,1,1,1,19,2,,2,spanish,"4,6",indian,2,2,3,4,5,5,2,"4,6",,59058
2022-05-01 23:03:17,2022-05-01 23:06:18,0,68.127.185.184,100,181,1,2022-05-01 23:06:19,R_xruF7zhD2egBIIh,,,,,33.9764,-117.3341,anonymous,EN,1,1,1,21,2,,2,spanish,4,,2,3,2,4,3,2,2,4,,58530
2022-05-02 00:33:22,2022-05-02 00:37:17,0,99.45.10.194,100,234,1,2022-05-02 00:37:17,R_6L4MkLYgjnRWSGt,,,,,33.9555,-118.2863,anonymous,EN,1,1,1,19,2,,2,"English and Spanish ",4,,2,4,1,4,4,6,2,4,,59306
2022-05-02 10:22:40,2022-05-02 10:26:44,0,169.231.25.99,100,244,1,2022-05-02 10:26:48,R_ZmyKPPhQvUFuYG5,,,,,34.4265,-119.8631,anonymous,EN,1,1,1,20,1,,1,,3,,2,4,5,7,3,10,3,3,,59198
